name of file,num instance,num abbs,normal hit,,,,,,,,standised hit,,,,,,,,bias hit,,,,,,,,offline hit,,,,,,,,maybe hit,,,,,,,,stan+bias hit,,,,,,,,offline+bias hit,,,,,,,,maybe+bias hit,,,,,,,,offline+stan hit,,,,,,,,maybe+stan hit,,,,,,,,stan+bias+offline hit,,,,,,,,stan+bias+maybe hit,,,,,,,,enemble10 hit,,,,,,,,enemble50 hit,,,,,,,,enemble100 hit,
,,,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,TPR,FPR,FNR,TNR,Accuracy,Balanced Accuracy,Precision,F1,
acute-inflammation.arff,120,7,0.875,0.0,0.125,1.0,0.3442622950819672,0.4375,0.875,0.6,0.75,0.0,0.25,1.0,0.3442622950819672,0.375,0.75,0.75,0.6,0.0,0.4,1.0,0.3442622950819672,0.3,0.6,0.6,0.8333333333333334,0.0,0.16666666666666666,1.0,0.32786885245901637,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,1.0,0.32786885245901637,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.6,0.0,0.4,1.0,0.3442622950819672,0.3,0.6,0.0,0.8571428571428571,0.0,0.14285714285714285,1.0,0.29508196721311475,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,1.0,0.29508196721311475,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,1.0,0.39344262295081966,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,1.0,0.39344262295081966,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.4897959183673469,0.0,0.5102040816326531,1.0,0.39344262295081966,0.24489795918367346,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.0,0.5102040816326531,1.0,0.39344262295081966,0.24489795918367346,0.4897959183673469,0.4897959183673469,0.6857142857142857,0.6538461538461539,0.3142857142857143,0.34615384615384615,0.6721311475409836,0.6697802197802198,0.6857142857142857,0.6857142857142857,1.0,0.8235294117647058,0.0,0.17647058823529413,0.9016393442622951,0.9117647058823529,1.0,1.0,0.6923076923076923,0.7272727272727273,0.3076923076923077,0.2727272727272727,0.7049180327868853,0.7097902097902098,0.6923076923076923,0.6923076923076923,
acute-nephritis.arff,120,7,0.5625,0.0,0.4375,1.0,0.29508196721311475,0.28125,0.5625,0.8333333333333334,0.7666666666666667,0.0,0.23333333333333334,1.0,0.3770491803278688,0.38333333333333336,0.7666666666666667,0.7666666666666667,0.8620689655172413,0.0,0.13793103448275862,1.0,0.4098360655737705,0.43103448275862066,0.8620689655172413,0.8620689655172413,0.6538461538461539,0.0,0.34615384615384615,1.0,0.2786885245901639,0.3269230769230769,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0,0.34615384615384615,1.0,0.2786885245901639,0.3269230769230769,0.6538461538461539,0.6538461538461539,0.8333333333333334,0.0,0.16666666666666666,1.0,0.4098360655737705,0.4166666666666667,0.8333333333333334,0.0,0.6538461538461539,0.0,0.34615384615384615,1.0,0.2786885245901639,0.3269230769230769,0.6538461538461539,0.6538461538461539,0.8620689655172413,0.0,0.13793103448275862,1.0,0.4098360655737705,0.43103448275862066,0.8620689655172413,0.8620689655172413,0.9615384615384616,0.0,0.038461538461538464,1.0,0.4098360655737705,0.4807692307692308,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.0,0.038461538461538464,1.0,0.4098360655737705,0.4807692307692308,0.9615384615384616,0.9615384615384616,0.7647058823529411,0.0,0.23529411764705882,1.0,0.21311475409836064,0.38235294117647056,0.7647058823529411,0.7647058823529412,0.7647058823529411,0.0,0.23529411764705882,1.0,0.21311475409836064,0.38235294117647056,0.7647058823529411,0.7647058823529412,0.9615384615384616,1.0,0.038461538461538464,0.0,0.9836065573770492,0.9807692307692308,0.9615384615384616,0.9615384615384616,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,
balloons.arff,16,5,0.6666666666666666,0.0,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.0,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,1.0,0.2222222222222222,0.25,0.5,0.5,0.75,0.0,0.25,1.0,0.3333333333333333,0.375,0.75,0.75,0.6666666666666666,0.0,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,1.0,0.2222222222222222,0.25,0.5,0.0,0.6,0.0,0.4,1.0,0.3333333333333333,0.3,0.6,0.6,0.5,0.0,0.5,1.0,0.2222222222222222,0.25,0.5,0.5,0.6,0.0,0.4,1.0,0.3333333333333333,0.3,0.6,0.6,0.6666666666666666,0.0,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.5,0.2857142857142857,0.5,0.6666666666666666,0.6071428571428572,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,0.2857142857142857,0.5,0.6666666666666666,0.6071428571428572,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5,0.6666666666666666,0.6666666666666666,
bank.arff,4521,17,0.11375387797311272,0.0,0.8862461220268872,1.0,0.048651039363113664,0.05687693898655636,0.11375387797311272,0.1860019175455417,0.0634469696969697,0.0,0.9365530303030303,1.0,0.029632905793896505,0.03172348484848485,0.0634469696969697,0.0634469696969697,0.18575553416746873,0.0,0.8142444658325313,1.0,0.08536045997346307,0.09287776708373437,0.18575553416746873,0.1857555341674687,0.18309859154929578,0.0,0.8169014084507042,1.0,0.07474568774878372,0.09154929577464789,0.18309859154929578,0.18309859154929578,0.11375387797311272,0.0,0.8862461220268872,1.0,0.048651039363113664,0.05687693898655636,0.11375387797311272,0.11375387797311272,0.1860019175455417,0.0,0.8139980824544583,1.0,0.08580274214949138,0.09300095877277086,0.1860019175455417,0.0,0.18647764449291168,0.0,0.8135223555070883,1.0,0.07563025210084033,0.09323882224645584,0.18647764449291168,0.18647764449291168,0.18575553416746873,0.0,0.8142444658325313,1.0,0.08536045997346307,0.09287776708373437,0.18575553416746873,0.1857555341674687,0.17184265010351968,0.0,0.8281573498964804,1.0,0.0734188412206988,0.08592132505175984,0.17184265010351968,0.17184265010351968,0.0634469696969697,0.0,0.9365530303030303,1.0,0.029632905793896505,0.03172348484848485,0.0634469696969697,0.0634469696969697,0.1691842900302115,0.0,0.8308157099697885,1.0,0.07430340557275542,0.08459214501510574,0.1691842900302115,0.1691842900302115,0.1691842900302115,0.0,0.8308157099697885,1.0,0.07430340557275542,0.08459214501510574,0.1691842900302115,0.1691842900302115,0.0733519034354689,0.8521959459459459,0.9266480965645311,0.14780405405405406,0.48120300751879697,0.46277392469070744,0.0733519034354689,0.0733519034354689,0.08188585607940446,0.8526615969581749,0.9181141439205955,0.1473384030418251,0.44051304732419283,0.4672737265187897,0.08188585607940446,0.08188585607940446,0.09345047923322684,0.8642220019821606,0.9065495207667732,0.13577799801783944,0.4374170720919947,0.4788362406076937,0.09345047923322684,0.09345047923322683,
blood.arff,748,5,0.21777777777777776,0.0,0.7822222222222223,1.0,0.13066666666666665,0.10888888888888888,0.21777777777777776,0.20945945945945946,0.228310502283105,0.0,0.771689497716895,1.0,0.13333333333333333,0.1141552511415525,0.228310502283105,0.228310502283105,0.20945945945945946,0.0,0.7905405405405406,1.0,0.08266666666666667,0.10472972972972973,0.20945945945945946,0.20945945945945946,0.07792207792207792,0.0,0.922077922077922,1.0,0.032,0.03896103896103896,0.07792207792207792,0.07792207792207792,0.07792207792207792,0.0,0.922077922077922,1.0,0.032,0.03896103896103896,0.07792207792207792,0.07792207792207792,0.20945945945945946,0.0,0.7905405405405406,1.0,0.08266666666666667,0.10472972972972973,0.20945945945945946,0.0,0.28169014084507044,0.0,0.7183098591549296,1.0,0.10666666666666667,0.14084507042253522,0.28169014084507044,0.28169014084507044,0.20945945945945946,0.0,0.7905405405405406,1.0,0.08266666666666667,0.10472972972972973,0.20945945945945946,0.20945945945945946,0.28368794326241137,0.0,0.7163120567375887,1.0,0.10666666666666667,0.14184397163120568,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.0,0.7163120567375887,1.0,0.10666666666666667,0.14184397163120568,0.28368794326241137,0.28368794326241137,0.2149122807017544,0.0,0.7850877192982456,1.0,0.13066666666666665,0.1074561403508772,0.2149122807017544,0.2149122807017544,0.2149122807017544,0.0,0.7850877192982456,1.0,0.13066666666666665,0.1074561403508772,0.2149122807017544,0.2149122807017544,0.19444444444444445,0.6585365853658537,0.8055555555555556,0.34146341463414637,0.3466666666666667,0.42649051490514905,0.19444444444444445,0.19444444444444445,0.29955947136563876,0.8445945945945946,0.7004405286343612,0.1554054054054054,0.5146666666666667,0.5720770329801167,0.29955947136563876,0.29955947136563876,0.3105590062111801,0.8084112149532711,0.6894409937888198,0.19158878504672897,0.5946666666666667,0.5594851105822256,0.3105590062111801,0.3105590062111801,
breast-cancer.arff,286,10,0.546875,0.0,0.453125,1.0,0.24305555555555555,0.2734375,0.546875,0.3835616438356164,0.4852941176470588,0.0,0.5147058823529411,1.0,0.22916666666666666,0.2426470588235294,0.4852941176470588,0.4852941176470588,0.375,0.0,0.625,1.0,0.1875,0.1875,0.375,0.375,0.4057971014492754,0.0,0.5942028985507246,1.0,0.19444444444444445,0.2028985507246377,0.4057971014492754,0.4057971014492754,0.4057971014492754,0.0,0.5942028985507246,1.0,0.19444444444444445,0.2028985507246377,0.4057971014492754,0.4057971014492754,0.3835616438356164,0.0,0.6164383561643836,1.0,0.19444444444444445,0.1917808219178082,0.3835616438356164,0.0,0.4057971014492754,0.0,0.5942028985507246,1.0,0.19444444444444445,0.2028985507246377,0.4057971014492754,0.4057971014492754,0.375,0.0,0.625,1.0,0.1875,0.1875,0.375,0.375,0.5185185185185185,0.0,0.48148148148148145,1.0,0.19444444444444445,0.25925925925925924,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.0,0.48148148148148145,1.0,0.19444444444444445,0.25925925925925924,0.5185185185185185,0.5185185185185185,0.27631578947368424,0.0,0.7236842105263158,1.0,0.14583333333333334,0.13815789473684212,0.27631578947368424,0.27631578947368424,0.27631578947368424,0.0,0.7236842105263158,1.0,0.14583333333333334,0.13815789473684212,0.27631578947368424,0.27631578947368424,0.4528301886792453,0.7362637362637363,0.5471698113207547,0.26373626373626374,0.6319444444444444,0.5945469624714907,0.4528301886792453,0.4528301886792453,0.4,0.7297297297297297,0.6,0.2702702702702703,0.5694444444444444,0.5648648648648649,0.4,0.4000000000000001,0.3875,0.734375,0.6125,0.265625,0.5416666666666666,0.5609375,0.3875,0.3875,
breast-cancer-wisc.arff,699,10,0.9279279279279279,0.0,0.07207207207207207,1.0,0.29428571428571426,0.46396396396396394,0.9279279279279279,0.943089430894309,0.8468468468468469,0.0,0.15315315315315314,1.0,0.26857142857142857,0.42342342342342343,0.8468468468468469,0.8468468468468469,0.943089430894309,0.0,0.056910569105691054,1.0,0.3314285714285714,0.4715447154471545,0.943089430894309,0.943089430894309,0.03463203463203463,0.0,0.9653679653679653,1.0,0.022857142857142857,0.017316017316017316,0.03463203463203463,0.03463203463203463,0.03463203463203463,0.0,0.9653679653679653,1.0,0.022857142857142857,0.017316017316017316,0.03463203463203463,0.03463203463203463,0.943089430894309,0.0,0.056910569105691054,1.0,0.3314285714285714,0.4715447154471545,0.943089430894309,0.0,0.01327433628318584,0.0,0.9867256637168141,1.0,0.008571428571428572,0.00663716814159292,0.01327433628318584,0.01327433628318584,0.943089430894309,0.0,0.056910569105691054,1.0,0.3314285714285714,0.4715447154471545,0.943089430894309,0.943089430894309,0.021929824561403508,0.0,0.9780701754385965,1.0,0.014285714285714285,0.010964912280701754,0.021929824561403508,0.021929824561403508,0.021929824561403508,0.0,0.9780701754385965,1.0,0.014285714285714285,0.010964912280701754,0.021929824561403508,0.021929824561403508,0.026200873362445413,0.0,0.9737991266375546,1.0,0.017142857142857144,0.013100436681222707,0.026200873362445413,0.026200873362445413,0.026200873362445413,0.0,0.9737991266375546,1.0,0.017142857142857144,0.013100436681222707,0.026200873362445413,0.026200873362445413,0.9590163934426229,0.9868421052631579,0.040983606557377046,0.013157894736842105,0.9771428571428571,0.9729292493528904,0.9590163934426229,0.9590163934426229,0.9512195121951219,0.986784140969163,0.04878048780487805,0.013215859030837005,0.9742857142857143,0.9690018265821425,0.9512195121951219,0.9512195121951219,0.943089430894309,0.9823788546255506,0.056910569105691054,0.01762114537444934,0.9685714285714285,0.9627341427599299,0.943089430894309,0.943089430894309,
breast-cancer-wisc-diag.arff,569,31,0.5506329113924051,0.0,0.44936708860759494,1.0,0.30526315789473685,0.27531645569620256,0.5506329113924051,0.8317757009345794,0.7540983606557377,0.0,0.2459016393442623,1.0,0.32280701754385965,0.3770491803278688,0.7540983606557377,0.7540983606557377,0.8165137614678899,0.0,0.1834862385321101,1.0,0.312280701754386,0.40825688073394495,0.8165137614678899,0.81651376146789,0.06936416184971098,0.0,0.930635838150289,1.0,0.042105263157894736,0.03468208092485549,0.06936416184971098,0.06936416184971098,0.06936416184971098,0.0,0.930635838150289,1.0,0.042105263157894736,0.03468208092485549,0.06936416184971098,0.06936416184971098,0.8317757009345794,0.0,0.16822429906542055,1.0,0.312280701754386,0.4158878504672897,0.8317757009345794,0.0,0.8518518518518519,0.0,0.14814814814814814,1.0,0.32280701754385965,0.42592592592592593,0.8518518518518519,0.8518518518518519,0.8165137614678899,0.0,0.1834862385321101,1.0,0.312280701754386,0.40825688073394495,0.8165137614678899,0.81651376146789,0.06857142857142857,0.0,0.9314285714285714,1.0,0.042105263157894736,0.03428571428571429,0.06857142857142857,0.06857142857142857,0.06857142857142857,0.0,0.9314285714285714,1.0,0.042105263157894736,0.03428571428571429,0.06857142857142857,0.06857142857142857,0.8425925925925926,0.0,0.1574074074074074,1.0,0.3192982456140351,0.4212962962962963,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.0,0.1574074074074074,1.0,0.3192982456140351,0.4212962962962963,0.8425925925925926,0.8425925925925926,0.9186046511627907,0.8793969849246231,0.08139534883720931,0.12060301507537688,0.8912280701754386,0.8990008180437069,0.9186046511627907,0.9186046511627907,0.8125,0.930635838150289,0.1875,0.06936416184971098,0.8842105263157894,0.8715679190751445,0.8125,0.8125,0.8679245283018868,0.9385474860335196,0.1320754716981132,0.061452513966480445,0.9122807017543859,0.9032360071677032,0.8679245283018868,0.8679245283018869,
breast-cancer-wisc-prog.arff,198,34,0.30612244897959184,0.0,0.6938775510204082,1.0,0.15,0.15306122448979592,0.30612244897959184,0.24561403508771928,0.2553191489361702,0.0,0.7446808510638298,1.0,0.12,0.1276595744680851,0.2553191489361702,0.2553191489361702,0.2413793103448276,0.0,0.7586206896551724,1.0,0.14,0.1206896551724138,0.2413793103448276,0.2413793103448276,0.3,0.0,0.7,1.0,0.15,0.15,0.3,0.3,0.30612244897959184,0.0,0.6938775510204082,1.0,0.15,0.15306122448979592,0.30612244897959184,0.30612244897959184,0.24561403508771928,0.0,0.7543859649122807,1.0,0.14,0.12280701754385964,0.24561403508771928,0.0,0.27450980392156865,0.0,0.7254901960784313,1.0,0.14,0.13725490196078433,0.27450980392156865,0.27450980392156865,0.2413793103448276,0.0,0.7586206896551724,1.0,0.14,0.1206896551724138,0.2413793103448276,0.2413793103448276,0.2727272727272727,0.0,0.7272727272727273,1.0,0.15,0.13636363636363635,0.2727272727272727,0.2727272727272727,0.2553191489361702,0.0,0.7446808510638298,1.0,0.12,0.1276595744680851,0.2553191489361702,0.2553191489361702,0.36,0.0,0.64,1.0,0.18,0.18,0.36,0.36,0.36,0.0,0.64,1.0,0.18,0.18,0.36,0.36,0.25925925925925924,0.7391304347826086,0.7407407407407407,0.2608695652173913,0.48,0.499194847020934,0.25925925925925924,0.25925925925925924,0.2777777777777778,0.7608695652173914,0.7222222222222222,0.2391304347826087,0.5,0.5193236714975846,0.2777777777777778,0.2777777777777778,0.28846153846153844,0.7708333333333334,0.7115384615384616,0.22916666666666666,0.52,0.5296474358974359,0.28846153846153844,0.28846153846153844,
chess-krvkp.arff,3196,37,0.6390243902439025,0.0,0.36097560975609755,1.0,0.32770481550969355,0.3195121951219512,0.6390243902439025,0.46293706293706294,0.7089151450053706,0.0,0.29108485499462944,1.0,0.41275797373358347,0.3544575725026853,0.7089151450053706,0.7089151450053706,0.46218487394957986,0.0,0.5378151260504201,1.0,0.20637898686679174,0.23109243697478993,0.46218487394957986,0.46218487394957986,0.6746987951807228,0.0,0.3253012048192771,1.0,0.3151969981238274,0.3373493975903614,0.6746987951807228,0.6746987951807228,0.6746987951807228,0.0,0.3253012048192771,1.0,0.3151969981238274,0.3373493975903614,0.6746987951807228,0.6746987951807228,0.46293706293706294,0.0,0.5370629370629371,1.0,0.20700437773608504,0.23146853146853147,0.46293706293706294,0.0,0.658311345646438,0.0,0.341688654353562,1.0,0.31207004377736086,0.329155672823219,0.658311345646438,0.658311345646438,0.658311345646438,0.0,0.341688654353562,1.0,0.31207004377736086,0.329155672823219,0.658311345646438,0.658311345646438,0.6458885941644562,0.0,0.3541114058355438,1.0,0.30456535334584117,0.3229442970822281,0.6458885941644562,0.6458885941644562,0.6458885941644562,0.0,0.3541114058355438,1.0,0.30456535334584117,0.3229442970822281,0.6458885941644562,0.6458885941644562,0.6446499339498019,0.0,0.35535006605019814,1.0,0.3051907442151345,0.32232496697490093,0.6446499339498019,0.6446499339498019,0.6446499339498019,0.0,0.35535006605019814,1.0,0.3051907442151345,0.32232496697490093,0.6446499339498019,0.6446499339498019,0.7578008915304606,0.6468682505399568,0.24219910846953938,0.3531317494600432,0.6935584740462789,0.7023345710352087,0.7578008915304606,0.7578008915304607,0.654228855721393,0.6088050314465409,0.34577114427860695,0.39119496855345914,0.6316447779862414,0.6315169435839669,0.654228855721393,0.654228855721393,0.7218390804597701,0.7133058984910837,0.27816091954022987,0.28669410150891633,0.717948717948718,0.717572489475427,0.7218390804597701,0.7218390804597701,
